,gender,living_in_UK,fq1,fq2,fq3,fq4,fq5,fq6,fq7,Healthiness_trait,fillingness_trait,intention_to_cook,healthiness_state,fillingness_state,healthiness,fillingness
5d064feb2f150e001aa0287f,male,born_here,2,4,5,1,4,5,4,0.083333333,-0.083333333,4.6,1,-1,0.541666667,-0.541666667
5dbc680db65c99211327661b,male,not_in_UK,4,5,2,4,3,4,0,-0.125,0.208333333,3.2,0,-1,-0.0625,-0.395833334
5baa56ebb3b5400001ce6dee,female,not_in_UK,3,1,4,2,5,1,3,0.166666667,-0.208333333,3.8,0,-1,0.083333334,-0.604166667
59dc458f77860e000151240e,male,not_in_UK,3,0,1,3,0,5,0,0.041666667,0.333333333,6,1,1,0.520833334,0.666666667
5ce19948d4b2a30018dd69a7,female,more_10y,2,3,3,4,5,3,2,-0.083333333,0,5,0,-1,-0.041666667,-0.5
5b7c89c4db11320001c43c05,female,not_in_UK,1,3,1,3,3,3,3,-0.166666667,0,3.4,1,1,0.416666667,0.5
5c5d09991bca630001ea7cb5,male,not_in_UK,4,1,4,3,1,5,2,0.166666667,0.208333333,6,1,-1,0.583333334,-0.395833334
5d7d75f4ea2fe40001dff5a4,female,born_here,4,4,3,4,5,4,5,-0.041666667,-0.083333333,5.4,1,-1,0.479166667,-0.541666667
5c56550e54f9d30001db7f50,male,born_here,5,2,2,1,4,5,5,0.166666667,-0.125,3.6,0,0,0.083333334,-0.0625
598c282ccceb0f0001b39660,male,born_here,2,5,3,3,5,3,2,-0.125,-0.041666667,0,0,1,-0.0625,0.479166667
57f697c6733f560001b5898b,male,born_here,1,5,3,3,4,0,4,-0.166666667,-0.208333333,2.8,1,-1,0.416666667,-0.604166667
5d4551340196ac0001b914a5,female,born_here,5,4,5,4,4,4,3,0.083333333,0.041666667,3,0,-1,0.041666667,-0.479166667
5b213220809d160001a2c36d,male,not_in_UK,2,3,3,4,3,0,2,-0.083333333,-0.041666667,3,1,-1,0.458333334,-0.520833334
5d07da55ac77d8001580abb4,female,born_here,4,3,5,3,5,4,6,0.125,-0.166666667,3.2,1,1,0.5625,0.416666667
5d20e2135278fa00014814c0,female,not_in_UK,1,3,4,4,4,4,5,-0.083333333,-0.041666667,0.8,1,-1,0.458333334,-0.520833334
5d851419d126db0001cf0396,female,not_in_UK,2,1,1,2,3,3,4,0,-0.083333333,1.2,0,-1,0,-0.541666667
5c741cdd2af891001707e1e8,female,not_in_UK,2,2,3,2,3,2,5,0.041666667,-0.166666667,5,0,-1,0.020833334,-0.583333334
5d9c8a8033801b00145a6803,female,born_here,6,3,2,0,5,0,4,0.208333333,-0.375,6,1,-1,0.604166667,-0.6875
5be2e7e491deed00015adcb0,male,not_in_UK,6,0,0,0,1,3,0,0.25,0.083333333,1.8,1,1,0.625,0.541666667
597b0c6ed573480001404b95,male,born_here,4,3,2,3,5,2,2,0,-0.083333333,1.2,1,1,0.5,0.458333334
5a59377facc75b00017a4337,female,5_to_10y,5,2,5,1,6,2,5,0.291666667,-0.333333333,2.8,0,0,0.145833334,-0.166666667
